FQDN,IP Address,Ping (ms),Release,Operator Stake,Total Delegated Stake,Delegates Count,Status,Prescribed Epoch Count,Observed Epoch Count,Total Epoch Count,Passed Epoch Count,Failed Epoch Count,Failed Consecutive Epochs,Passed Consecutive Epochs,ISP,Geo Location,Error Message,Process Id,ANS-104 Unbundle Filter,ANS-104 Index Filter,Supported Manifest Versions
medyoz.com,104.21.49.38,489.9307909999916,29,16935342495,38674549458,0,joined,5,3,57,55,2,0,36,N/A,", ",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
arweave.chat,104.21.39.78,503.3590419999964,29,16137918267,22839291275,0,joined,5,4,57,56,1,0,39,N/A,", ",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
gerenimo.click,144.76.114.72,597.6617499999993,31,15667052397,27115252698,0,joined,10,9,57,55,2,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
berso.store,144.126.148.198,289.88187499999185,32,15116250000,27708022676,0,joined,5,4,57,53,4,0,20,N/A,"New York, US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
4u.fullnode.agency,103.173.134.18,903.6989999999932,30,14936605569,200237490993,0,joined,4,1,57,31,26,0,24,N/A,", IN",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
rufetnaliyev.xyz,37.27.247.100,627.45883399999,32,14722500000,25225176351,0,joined,5,3,57,56,1,0,20,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
perma-web.xyz,37.27.32.204,639.719374999986,32,14633750000,11988687392,0,joined,4,3,57,55,2,0,20,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ibrahimdirik.xyz,N/A,-1,N/A,14434855373,17700209682,0,joined,3,0,57,46,11,8,0,N/A,N/A,certificate has expired,N/A,[object Object],[object Object],[object Object]
ar.anyone.tech,49.13.145.234,610.7502919999824,32,14344238488,117091750000,0,joined,6,0,57,56,1,0,20,N/A,"Nuremberg, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
elcinbitcoin.xyz,65.109.196.250,634.1320000000123,32,14203750000,17892500000,0,joined,6,3,57,54,3,0,20,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
aoweave.tech,178.156.162.179,337.62758299999405,29,14168441381,0,0,joined,0,0,56,29,27,0,29,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
adn79.pro,65.108.201.218,668.0981659999816,32,14014386392,23335847343,0,joined,3,0,57,57,0,0,57,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
zaurmammadov.xyz,65.21.251.211,617.6442080000124,29,14011250000,26767408263,0,joined,3,1,57,57,0,0,57,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
